Date,Open,High,Low,Close,Adj Close,Volume
2010-03-11,19891200.000000,19891200.000000,19334400.000000,19334400.000000,17003396.000000,0
2010-03-12,19324800.000000,19742400.000000,18988800.000000,19732800.000000,17353764.000000,0
2010-03-15,20294400.000000,20558400.000000,20145600.000000,20448000.000000,17982738.000000,0
2010-03-16,19080000.000000,19080000.000000,18782400.000000,18782400.000000,16517945.000000,0
2010-03-17,18782400.000000,18782400.000000,18782400.000000,18782400.000000,16517945.000000,0
2010-03-18,18782400.000000,18782400.000000,18782400.000000,18782400.000000,16517945.000000,0
2010-03-19,19569600.000000,19593600.000000,19569600.000000,19593600.000000,17231342.000000,0
2010-03-22,19944000.000000,19944000.000000,17985600.000000,17985600.000000,15817210.000000,0
2010-03-23,17673600.000000,17673600.000000,17107200.000000,17126400.000000,15061599.000000,0
2010-03-24,17102400.000000,17572800.000000,17092800.000000,17572800.000000,15454180.000000,0
2010-03-25,17088000.000000,17827200.000000,16920000.000000,17803200.000000,15656802.000000,0
2010-03-26,17323200.000000,18470400.000000,17241600.000000,18148800.000000,15960735.000000,0
2010-03-29,18240000.000000,18240000.000000,17510400.000000,17572800.000000,15454180.000000,0
2010-03-30,17486400.000000,17486400.000000,17486400.000000,17486400.000000,15378197.000000,0
2010-03-31,17697600.000000,17697600.000000,17001600.000000,17524800.000000,15411968.000000,0
2010-04-01,16632000.000000,17836800.000000,16425600.000000,17611200.000000,15487950.000000,0
2010-04-05,16200000.000000,16200000.000000,15907200.000000,15940800.000000,14018937.000000,0
2010-04-06,16257600.000000,16382400.000000,16012800.000000,16200000.000000,14246887.000000,0
2010-04-07,16430400.000000,16483200.000000,15792000.000000,15888000.000000,13972503.000000,0
2010-04-08,16176000.000000,17059200.000000,16176000.000000,16713600.000000,14698563.000000,0
2010-04-09,16560000.000000,16560000.000000,16507200.000000,16512000.000000,14521270.000000,0
2010-04-12,16003200.000000,16003200.000000,15312000.000000,15715200.000000,13820535.000000,0
2010-04-13,15763200.000000,15792000.000000,15412800.000000,15412800.000000,13554594.000000,0
2010-04-14,14371200.000000,14371200.000000,13358400.000000,13416000.000000,11798533.000000,0
2010-04-15,13344000.000000,13516800.000000,13060800.000000,13286400.000000,11684558.000000,0
2010-04-16,13574400.000000,14150400.000000,13574400.000000,13771200.000000,12110908.000000,0
2010-04-19,14126400.000000,15043200.000000,13929600.000000,14241600.000000,12524596.000000,0
2010-04-20,13785600.000000,13939200.000000,13598400.000000,13608000.000000,11967384.000000,0
2010-04-21,13200000.000000,14424000.000000,13200000.000000,14097600.000000,12397957.000000,0
2010-04-22,14520000.000000,14904000.000000,13128000.000000,13128000.000000,11545255.000000,0
2010-04-23,13464000.000000,13646400.000000,13060800.000000,13060800.000000,11486157.000000,0
2010-04-26,12720000.000000,13104000.000000,12715200.000000,13104000.000000,11524147.000000,0
2010-04-27,13440000.000000,14400000.000000,13276800.000000,14400000.000000,12663897.000000,0
2010-04-28,13728000.000000,14784000.000000,13632000.000000,14404800.000000,12668120.000000,0
2010-04-29,14620800.000000,14620800.000000,13296000.000000,13593600.000000,11954722.000000,0
2010-04-30,13920000.000000,15460800.000000,13920000.000000,15460800.000000,13596806.000000,0
2010-05-03,14913600.000000,14980800.000000,14049600.000000,14265600.000000,12545703.000000,0
2010-05-04,14760000.000000,16665600.000000,14760000.000000,16142400.000000,14196230.000000,0
2010-05-05,19411200.000000,19411200.000000,15902400.000000,16665600.000000,14656352.000000,0
2010-05-06,16968000.000000,21595200.000000,13440000.000000,17779200.000000,15635692.000000,0
2010-05-07,18974400.000000,21033600.000000,17980800.000000,18979200.000000,16691016.000000,0
2010-05-10,16296000.000000,16795200.000000,15734400.000000,15744000.000000,13845862.000000,0
2010-05-11,16617600.000000,16684800.000000,15249600.000000,16056000.000000,14120246.000000,0
2010-05-12,15628800.000000,15628800.000000,14635200.000000,14635200.000000,12870742.000000,1
2010-05-13,15288000.000000,16051200.000000,14534400.000000,15844800.000000,13934510.000000,1
2010-05-14,16713600.000000,18148800.000000,16713600.000000,17284800.000000,15200901.000000,0
2010-05-17,17630400.000000,18244800.000000,16377600.000000,16492800.000000,14504386.000000,0
2010-05-18,16243200.000000,18076800.000000,16084800.000000,17913600.000000,15753889.000000,0
2010-05-19,18259200.000000,18868800.000000,17078400.000000,17664000.000000,15534383.000000,0
2010-05-20,19099200.000000,20040000.000000,18004800.000000,19113600.000000,16809216.000000,0
2010-05-21,20347200.000000,21120000.000000,16833600.000000,17779200.000000,15635692.000000,0
